case_id,corpus,target_vulnerability,label
S01,synthetic,public_s3_access,1
S02,synthetic,unrestricted_security_group,1
S03,synthetic,excessive_iam_privileges,1
S04,synthetic,unsecured_rds,1
S05,synthetic,insecure_s3_configuration,1
S06,synthetic,none,0
S07,synthetic,none,0
S08,synthetic,none,0
S09,synthetic,none,0
S10,synthetic,none,0
B01,baseline,baseline_configuration,0
B02,baseline,baseline_configuration,0
B03,baseline,baseline_configuration,0
B04,baseline,baseline_configuration,0
B05,baseline,baseline_configuration,0
B06,baseline,none,0
B07,baseline,none,0
B08,baseline,none,0
B09,baseline,none,0
B10,baseline,none,0
